"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"0","S24","Joku hullu vielä jotakin karjalanpiirakkaa metsästää thaimaassa kun on kuullut että suomalaista ruokaa ois saatavilla kovaan hintaan .","joku hullu vielä jokin karjalanpiirakka metsästää thaimaa kun olla kuulla että suomalainen ruoka ois saada kova hinta .","Jengi etsii ulkomailla suomalaisia","12.12.2014","16:21","Matkailu","Yleistä Thaimaasta","makkara thaikuista","16192","http://keskustelu.suomi24.fi/t/13102806#comment-75039291","http://keskustelu.suomi24.fi/t/13102806","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"1","S24","Thaimaan rannat ovat väsyttäviä .","thaimaa ranta olla väsyä .","Tylsimmät rantaloma kohteet","14.12.2014","12:12","Matkailu","Kanariansaaret","Elastinen  pipo","20634","http://keskustelu.suomi24.fi/t/13090488#comment-75137817","http://keskustelu.suomi24.fi/t/13090488","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"2","S24","No Thaimaassa on ainakin takuuvarma helle , toisin kun kanariansaarilla .","no thaimaa olla ainakin takuuvarma helle , toisin kun kanariansaarilla .","Joko on hellettä kanarialla","13.12.2014","18:24","Matkailu","Kanariansaaret","Chang","21205","http://keskustelu.suomi24.fi/t/13067523#comment-75103089","http://keskustelu.suomi24.fi/t/13067523","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"3","S24","Tänä vuonna olin Tammikuun Thaimaassa ja kesäkuun Brasiliassa MM-kisoissa molemmat kuukauden reissuja .","tämä vuosi olla tammikuu thaimaa ja kesäkuu Brasilia MM-kisoissa molemmat kuukausi reissu .","Varatkaa netistä itse lentonne","16.12.2014","12:14","Matkailu","Yleistä Thaimaasta","Kukin niin kuin voi","33936","http://keskustelu.suomi24.fi/t/13124259#comment-75250191","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"4","S24","Thaimaasta saa ihan perushuoneen noin 20 euroa vrk , ei ne hökkeleitä ole .","thaimaa saada ihan perushuone tuo 20 euro vrk , ei se hökkeli olla .","Varatkaa netistä itse lentonne","18.12.2014","10:48","Matkailu","Yleistä Thaimaasta","kommentti.","34088","http://keskustelu.suomi24.fi/t/13124259#comment-75357762","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"5","S24","Myös thaimaan sisäset lennot olen tehnyt jonkun lentoyhtiön toimesta .","myös thaimaa sisäset lento olla tehdä joku lentoyhtiö toimi .","Varatkaa netistä itse lentonne","17.12.2014","20:55","Matkailu","Yleistä Thaimaasta","ei omatoiminen","34109","http://keskustelu.suomi24.fi/t/13124259#comment-75334953","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"6","S24","Majoittunutkaan en ole thaimaassa omatoimisesti .","majoittua ei olla thaimaa omatoimisesti .","Varatkaa netistä itse lentonne","17.12.2014","20:55","Matkailu","Yleistä Thaimaasta","ei omatoiminen","34113","http://keskustelu.suomi24.fi/t/13124259#comment-75334953","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"7","S24","En edes ruokaillut ole thaimaassa omatoimisesti , vaan joku muu on ruoan valmistanut .","ei edes ruokailla olla thaimaa omatoimisesti , vaan joku muu olla ruoka valmistaa .","Varatkaa netistä itse lentonne","17.12.2014","20:55","Matkailu","Yleistä Thaimaasta","ei omatoiminen","34117","http://keskustelu.suomi24.fi/t/13124259#comment-75334953","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"8","S24","Thaimaassa kun saa pikakahvia , jossa maito ja sokerikin valmiina annospusseissa , niin ei sekään nyt ihan hirveän omatoimista ole ollut .","thaimaa kun saada pikakahvi , joka maito ja sokeri valmis annospussi , niin ei se nyt ihan hirveä omatoimi olla olla .","Varatkaa netistä itse lentonne","17.12.2014","20:55","Matkailu","Yleistä Thaimaasta","ei omatoiminen","34119","http://keskustelu.suomi24.fi/t/13124259#comment-75334953","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"9","S24","Käsittääkseni se ei edes olisi thaimaassa mahdollista , vaikka suomessa olen talon rakentanutkin .","käsittää se ei edes olla thaimaa mahdollinen , vaikka suomi olla talo rakentaa .","Varatkaa netistä itse lentonne","17.12.2014","20:55","Matkailu","Yleistä Thaimaasta","ei omatoiminen","34127","http://keskustelu.suomi24.fi/t/13124259#comment-75334953","http://keskustelu.suomi24.fi/t/13124259","CC BY-NC (CLARIN PUB)","2019-02-25 12:35:06","1965","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22thaimaa%22%20%26%20_.text_sect%20%3D%20%22Matkailu%22%5D","corpus=S24; cqp=[_.text_sect = ""Matkailu"" & lemma = ""thaimaa""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
