"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"0","S24","Kyseiset merkkiaineet liittyvät myös sydän- ja verisuonitautien ja diabeteksen riskiin .","kyseinen merkkiaine liittyä myös sydän ja verisuonitautie ja diabetes riski .","Turhia lääkkeitä tarjolla!","10.12.2014","21:39","Terveys","Masennus","33","173767","http://keskustelu.suomi24.fi/t/13092651#comment-74948007","http://keskustelu.suomi24.fi/t/13092651","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"1","S24","Mullakaan ei ole koskaan ollut syöpää , diabetesta , masennusta eikä korvatulehdusta , silti monella muulla on , enkä ryhtyisi niitä täällä valheiksi väittämään ja linkkailemaan mitään sellaista mikä ei ketään kiinnosta .","mä ei olla koskaan olla syöpä , diabetes , masennus ei korvatulehdus , silti moni muu olla , ei ryhtyä se täällä valhe väittää ja linkkailemaan mikään sellainen mikä ei kukaan kiinnostaa .","PMS-OIREET TEKEVÄT HULLUKSI!","30.7.2013","00:42","Terveys","Masennus","menkkaraivotar","175861","http://keskustelu.suomi24.fi/t/11009378#comment-62731692","http://keskustelu.suomi24.fi/t/11009378","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"2","S24","Olet todella ylipainoinen sinun riskisi sairastua diabetekseen , sydäntautiin ovat yli 50% suosittelen pudottamaan huomattavasti painoa ja varmaan sen jälkeen vanhempasikin pitäisivät sinusta","olla todella ylipainoinen sinä riski sairastua diabetes , sydäntauti olla yli 50% suositella pudottaa huomattavasti paino ja varmaan se jälkeen vanhempi pitää sinä","Oonko mä lihava 12-vuotiaaksi?","12.6.2013","02:00","Terveys","Lihavuus","Pastori Neekeri","179966","http://keskustelu.suomi24.fi/t/10319317#comment-61951184","http://keskustelu.suomi24.fi/t/10319317","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"3","S24","Entä mistä diabetes johtuu ?","entä mikä diabetes johtua ?","Uusi ketju Kotleetille","27.5.2014","22:00","Terveys","Lihavuus","789456123","180367","http://keskustelu.suomi24.fi/t/12103278#comment-68025431","http://keskustelu.suomi24.fi/t/12103278","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"4","S24","Diabetekseen voi tulla vielä liitännäissairauksia ja korkea verenpaine voi aiheutaa aivoverenvuotoa ( kuten radiopersoona Ile Jokiselle ) .","diabetes voida tulla vielä liitännäinensairaus ja korkea verenpaine voida aiheutaa aivoverenvuoto ( kuten radiopersoona Ile Jokinen ) .","Uusi ketju Kotleetille","7.7.2014","10:21","Terveys","Lihavuus","Hei haloo","180510","http://keskustelu.suomi24.fi/t/12103278#comment-68716518","http://keskustelu.suomi24.fi/t/12103278","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"5","S24","Voin vain olla kiitollinen siitä , ettei mikään diabetes tai korkea kolesteroli ole minuun vielä tullut .","voida vain olla kiitollinen se , ettäei mikään diabetes tai korkea kolesteroli olla minä vielä tulla .","Miksi lihavaa saa haukkua?","5.11.2014","14:40","Terveys","Lihavuus","Fat lady","182800","http://keskustelu.suomi24.fi/t/12812754#comment-72986487","http://keskustelu.suomi24.fi/t/12812754","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"6","S24","Sitäpaitsi noin suuri ylipaino aiheuttaa monelle diabeteksen .","Sitäpaitsi noin suuri ylipaino aiheuttaa moni diabetes .","Miksi lihavaa saa haukkua?","15.11.2014","01:36","Terveys","Lihavuus","Lihavat ärsyttävät!","183590","http://keskustelu.suomi24.fi/t/12812754#comment-73508400","http://keskustelu.suomi24.fi/t/12812754","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"7","S24","Itselläni on autoimmuuniversio eli on jo tullut diabetes , kilpirauhasen vajaatoiminta , astma , keliakia ja laktoosi-intoleranssi sekä liuta liitännäisallergioita .","itse olla autoimmuuniversio eli olla jo tulla diabetes , kilpirauhanen vajaatoiminta , astma , keliakia ja laktoosi-intoleranssi sekä liuta liitännäinenallergia .","Kilpirauhasen vajis ja loputon stressi","8.1.2014","14:18","Terveys","Lihavuus","Mun ohjeet","184874","http://keskustelu.suomi24.fi/t/11978096#comment-65497405","http://keskustelu.suomi24.fi/t/11978096","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"8","S24","Mutta minulla on suvussa kummankin vanhemman sisaruksilla vajis ja diabetesta on lähes kaikilla , kuten myös allergioita ja migreeniä .","mutta minä olla suku kumpikin vanha sisarus vajis ja diabetes olla lähes kaikki , kuten myös allergia ja migreeni .","Kilpirauhasen vajis ja loputon stressi","8.1.2014","15:19","Terveys","Lihavuus","Lihava kilpikonna","184942","http://keskustelu.suomi24.fi/t/11978096#comment-65498464","http://keskustelu.suomi24.fi/t/11978096","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
"9","S24","Tilastoja seuratessa tämä kananmunien tuotannon muutos käy käsikädessä maiden diabetes tilastojen kanssa .","tilasto seurata tämä kananmuna tuotanto muutos käydä käsikäsi maa diabetes tilasto kanssa .","Johtuuko lihavuus laiskuudesta?","18.12.2014","19:59","Terveys","Lihavuus","Totuus5","186984","http://keskustelu.suomi24.fi/t/13134834#comment-75385872","http://keskustelu.suomi24.fi/t/13134834","CC BY-NC (CLARIN PUB)","2019-02-25 12:33:00","571","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22d%22%5D&lang=en&search_tab=2&corpus=s24&hpp=500&search=cqp%7C%5Blemma%20%3D%20%22diabetes%22%20%26%20_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys"" & lemma = ""diabetes""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=none; start=0; end=499"
