"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"1000","S24","Aurinkomatkat on alla , vielä syvemmällä .","aurinkomatka olla alla , vielä syvemmällä .","Hyvä.Auringomatkat.Kalastaja(kin) erehtyi.","15.7.2010","22:49","Matkailu","Yleistä matkailusta","synnit listalle","3630327","http://keskustelu.suomi24.fi/t/8765628#comment-44953306","http://keskustelu.suomi24.fi/t/8765628","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1001","S24","25e buffet alkupaloilla , jälkkärillä ja pääruuilla plus viinit kahdelta , not bad !","25e buffet alkupalko , jälkkäri ja pääruoka plus viini kaksi , not bad !","Gropon-matka P-Kyprokselle 28.3.-4.4","30.3.2014","20:22","Matkailu","Kypros","lomalainen","8177944","http://keskustelu.suomi24.fi/t/11951936#comment-67007248","http://keskustelu.suomi24.fi/t/11951936","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1002","S24","Pois lähtiessämme isäntä antoi suoran puhelinnumeronsakin , jotta voimme jatkossa varata huoneen suoraan häneltä ja paljon edullisemmin kuin tuon firman kautta .","pois lähteä isäntä antaa suora puhelinnumerosakki , jotta voida jatko varata huone suoraan hän ja paljon edullinen kuin tuo firma kautta .","Epäonnistunut Estrent-vuokraus","20.7.2012","12:55","Matkailu","Yleistä Virosta","Mie vain","9169821","http://keskustelu.suomi24.fi/t/8251443#comment-56277237","http://keskustelu.suomi24.fi/t/8251443","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1003","S24","Joku tehnyt kuulemma ilmiantoja etteivät maksa veroja Espanjaan .","joku tehdä kuulemma ilmianto ettäei maksaa vero Espanja .","Verottaja kyselee","24.9.2013","18:44","Matkailu","Aurinkorannikko","Kuos","1022010","http://keskustelu.suomi24.fi/t/11739627#comment-63678514","http://keskustelu.suomi24.fi/t/11739627","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1004","S24","Toisille millään ei ole mitään väliä .","toinen mikään ei olla mikään väli .","Lomalentojen lentoemännät","23.3.2014","00:16","Matkailu","Finnair","Täytyy vaatia.","3483004","http://keskustelu.suomi24.fi/t/12120900#comment-66865281","http://keskustelu.suomi24.fi/t/12120900","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1005","S24","Asuin aikoinaan neukkulassa ja kyllä niitä torakoita ainakin oli vähän joka paikassa .","asua aikoinaan neukkulassa ja kyllä se torakka ainakin olla vähän joka paikka .","luteita tuliaisena","5.5.2009","18:58","Matkailu","Matkailijan terveys","...olla","9068458","http://keskustelu.suomi24.fi/t/7106572#comment-37657158","http://keskustelu.suomi24.fi/t/7106572","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1006","S24","Ajokortti ei ole virallinen matkustusasiakirja .","ajokortti ei olla virallinen matkustusasiakirja .","Tarviiko Tukholman-risteilylle oikeasti kuvallisen henk.tod?","27.7.2014","00:37","Matkailu","Laivamatkat ja risteilyt","Matkaaja9","647350","http://keskustelu.suomi24.fi/t/12374364#comment-69030732","http://keskustelu.suomi24.fi/t/12374364","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1007","S24","Ne kaksi talvea mitä Hua Hinissä asuin niin kyllä siellä asuvista suomalaisista moni eli lähes kädestä suuhun tyylillä erittäin säästeliäästi .","se kaksi talvi mikä Hua Hinissä asua niin kyllä siellä asua suomalainen moni eli lähes käsi suu tyyli erittäin säästeliäästi .","Uusi terveyskylpylä Hua Hiniin","13.8.2014","10:01","Matkailu","Hua Hin","asioista tietävä","9109967","http://keskustelu.suomi24.fi/t/12411669#comment-69319982","http://keskustelu.suomi24.fi/t/12411669","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1008","S24","Itse en koskaa ota suomalaista naista ruokittavaksi ja perintöjä niille jakaen .","itse ei koskaa ottaa suomalainen nainen ruokkia ja perintä se jakaa .","VENÄJÄ KAAPPASI LAPSENI","28.7.2010","15:08","Matkailu","Moskova","suomi nainen susi","4995615","http://keskustelu.suomi24.fi/t/9195102#comment-45127662","http://keskustelu.suomi24.fi/t/9195102","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1009","S24","Tulimme juuri Budapestistä ja majoituimme siellä Airbnb kautta kolmessa eri huoneistossa .","tulla juuri Budapestistä ja majoittua siellä Airbnb kautta kolme eri huoneisto .","kokemuksia airbnb:stä?","29.9.2013","23:48","Matkailu","Matkakertomukset","","1379751","http://keskustelu.suomi24.fi/t/10876415#comment-63762297","http://keskustelu.suomi24.fi/t/10876415","CC BY-NC (CLARIN PUB)","2019-03-02 15:57:02","4863817","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Matkailu%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Matkailu""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
