"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"0","S24","Hinnat Nuo hinnat ovat osittain sellaisia , että maksetaankohan kaikki pakolliset verot ?","hinta tuo hinta olla osittain sellainen , että maksaa kaikki pakollinen vero ?","kokemuksia!","23.9.2009","08:44","Talous","Shoppailu","Süd-Finnland","4303411","http://keskustelu.suomi24.fi/t/6826021#comment-40105765","http://keskustelu.suomi24.fi/t/6826021","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"1","S24","– Tämä käsitys on osittain johtanut siihen , että ihmiset eivät uskalla tulla teatteriin , koska eivät välttämättä tiedä mitä on luvassa .","– tämä käsitys olla osittain johtaa se , että ihminen ei uskaltaa tulla teatteri , koska ei välttämättä tietää mikä olla lupa .","Osatyökyvyttömyyseläkkeeltä täydelle vm. 1955","11.11.2014","11:17","Talous","Kysy työeläkkeestä","","606635","http://keskustelu.suomi24.fi/t/12907926#comment-73296999","http://keskustelu.suomi24.fi/t/12907926","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"2","S24","Kirjanpito on kuitenkin yksinkertaista hommaa .","kirjapidot olla kuitenkin yksinkertainen homma .","Tilitoimisto hinnat","2.5.2013","13:10","Talous","Yrittäjyys","Vaihda muualle","2065043","http://keskustelu.suomi24.fi/t/11446310#comment-61347881","http://keskustelu.suomi24.fi/t/11446310","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"3","S24","Aleksandrian omistajat ovat rikastuneet - asiakkkaat eivät .","Aleksandria omistaja olla rikastua - asiakkkaat ei .","Alexandria - pysykää erossa kys. yrityksestä!","24.5.2014","20:03","Talous","Sijoitusrahastot","aleks4","2104164","http://keskustelu.suomi24.fi/t/5896662#comment-67970965","http://keskustelu.suomi24.fi/t/5896662","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"4","S24","Asumiskulut tulevat putoamaan , kun lainaa saa lyhennettyä .","asuakulku tulla pudota , kun laina saada lyhentää .","asuntolaina","28.2.2014","11:20","Talous","Lainat ja velka","vanhempi myös","7967905","http://keskustelu.suomi24.fi/t/12085222#comment-66467445","http://keskustelu.suomi24.fi/t/12085222","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"5","S24","Jos näkemyksesi on se että yritys tulee tekemään hyvää tulosta= maksaa hyvää osinkoa tulevaisuudessa , sinun kannattaisi ennemmin miettiä ostaako lisää kun saa halvalla !","jos näkemys olla se että yritys tulla tehdä hyvä tulosta= maksaa hyvä osinko tulevaisuus , sinä kannattaa ennemmin miettiä ostaa lisää kun saada halva !","Kotimainen Biohit Kiinassa","12.11.2014","22:47","Talous","Osakevinkit","piet1","252968","http://keskustelu.suomi24.fi/t/12805812#comment-73391439","http://keskustelu.suomi24.fi/t/12805812","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"6","S24","tekemistä kommunismilla on normaalin markkinatalouden kanssa ???","tekeminen kommunismi olla normaali markkinatalous kanssa ???","Pellon vuokrahinta?","23.3.2014","07:17","Talous","Viljely","Mitä ihmeen","1000369","http://keskustelu.suomi24.fi/t/5376842#comment-66866846","http://keskustelu.suomi24.fi/t/5376842","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"7","S24","ASUNTOSIJOITUS ON MYÖS HUONO KOSKA EURON ROMAHTAESSA KOROT NOUSEVAT YLÖS JA HINNAT LASKEVAT ...","asuntosijoitus olla myös huono koska euro romahtaa korko nousta ylös ja hinta laskea ...","37 400 € rahaa tilillä - mitä tehdä?","19.6.2011","09:53","Talous","Lainat ja velka","","1135139","http://keskustelu.suomi24.fi/t/9903471#comment-49941327","http://keskustelu.suomi24.fi/t/9903471","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"8","S24","en tiedä mimmonen emäntä ja sen avut on mutta siihen voit varautua että lypsää sut tyhjäks .","ei tietää mimmonen emäntä ja se apu olla mutta se voida varautua että lypsää sä tyhjä .","Emäntä tilalle - mitkä oleellisemmat jutut?","17.12.2014","17:02","Talous","Yleistä maataloudesta","tympääntynyt","8976","http://keskustelu.suomi24.fi/t/13115082#comment-75321519","http://keskustelu.suomi24.fi/t/13115082","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"9","S24","Jos vertaa palkkatyötä ja sikataloutta keskenään , niin ero on kuin yöllä ja päivällä .","jos verrata palkkatyö ja sikatalous keskenään , niin ero olla kuin yö ja päivä .","Sikatalouden kannattavuus laskenut,","16.10.2014","09:05","Talous","Yleistä maataloudesta","Vilkki","5351559","http://keskustelu.suomi24.fi/t/12610262#comment-71892594","http://keskustelu.suomi24.fi/t/12610262","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"10","S24","KalPa kukisti lauantaina Virran ex-seuran Ässät Porissa 3–2. Voittomaalin sai piikkiinsä onnekkaasti osunut KalPan Michal Birner .","KalPa kukistaa lauantai Virta ex-seura ässä Pori 3–2. voittomaali saada piikki onnekkaasti osua KalPan Michal Birner .","Visalla maksettu","14.12.2014","10:59","Talous","Kuluttajansuoja","1-3","481152","http://keskustelu.suomi24.fi/t/13113651#comment-75133908","http://keskustelu.suomi24.fi/t/13113651","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"11","S24","Voi hyvä Tallihiiri .","voi hyvä tallihiiri .","Onko maksu aiheellinen?","9.11.2012","11:58","Talous","Lainat ja velka","ÄLLITÄLLI","8336469","http://keskustelu.suomi24.fi/t/11024838#comment-58229164","http://keskustelu.suomi24.fi/t/11024838","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"12","S24","Urakoitsijat ovat nälkäkuoleman partaalla ja kohta jäävät liian monet harvennushakkuut tekemättä , joten tulevaisuudessa hyvän tukkipuun saanti tulee olemaan vaikeaa .","urakoitsija olla nälkäkuolema parras ja kohta jäädä liian moni harvennushakkuu tehdä , joten tulevaisuus hyvä tukkipuu saanti tulla olla vaikea .","Onko UPM aidosti vastuullinen?","28.12.2013","16:59","Talous","Metsänhoito","pienviljelijä","1358186","http://keskustelu.suomi24.fi/t/11935008#comment-65284771","http://keskustelu.suomi24.fi/t/11935008","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
