"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"0","S24","Iltalehti eilen - Anjan närästys olikin sydäninfarkti : "" Itse en olisi hoksannut "" Tamperelainen Anja Bessonov , Henkinen Valtiatar , oli matkalla poikansa luo Kangasalle , kun hänTampereen Keskustorilla bussia odottaessaan alkoi tuntea polttavaa närästystä .","iltalehti eilen - Anja närästys olla sydäninfarkti : "" itse ei olla hoksata "" Tampere Anja Bessonov , henkinen valtiatar , olla matka poika luo Kangasalle , kun hänTampereen keskustori bussi odottaa alkaa tuntea polttava närästys .","Iltalehti eilen - Anjan närästys olikin sydäninfarkti:","18.12.2014","16:41","Terveys","Vähähiilihydraattiset dieetit","Kosse111","5439183","http://keskustelu.suomi24.fi/t/13142034#comment-75374883","http://keskustelu.suomi24.fi/t/13142034","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"1","S24","On vieroitusoireita , tyypillisiä SSRI-lääkkeille : sähköiskun tuntemuksia , räpsähtelyä päässä .","olla vieroitusoire , tyypillinen SSRI-lääkkeille : sähköisku tuntemus , räpsähtely pää .","PAROXETIN - Kokemuksia","21.8.2009","02:52","Terveys","Paniikkihäiriö","...........","8419755","http://keskustelu.suomi24.fi/t/4635337#comment-39573698","http://keskustelu.suomi24.fi/t/4635337","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"2","S24","Sisäsivut kasvaa ja tulehtuu aina uudelleen , noin 6kk välein leikkuuseen ..","sisäsivu kasvaa ja tulehtua aina uudelleen , tuo 6kk väli leikkuu ..","Varvas puudutetaan","3.9.2012","16:36","Terveys","Leikkaus","usein leikelty","5902142","http://keskustelu.suomi24.fi/t/7060067#comment-57052932","http://keskustelu.suomi24.fi/t/7060067","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"3","S24","Toipumisaika , no sitähän ei siinä ole lainkaan , ainut plussa siinä .","toipumisaika , no se ei se olla lain , ainu plussa se .","intracel kokemuksia?","13.2.2013","17:35","Terveys","Plastiikkakirurgia","Ei Intracell","3587722","http://keskustelu.suomi24.fi/t/10468621#comment-59990045","http://keskustelu.suomi24.fi/t/10468621","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"4","S24","Aloin seurustelemaan narsistin kanssa muutama vuosi sitten .","alkaa seurustella narsisti kanssa muutama vuo sitten .","Narsistista eroon","29.3.2013","14:30","Terveys","Narsismi","lottamari<3","1252163","http://keskustelu.suomi24.fi/t/11374468#comment-60787122","http://keskustelu.suomi24.fi/t/11374468","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"5","S24","alkaa olla tilaa , kun äipät on hoidossa .","alkaa olla tila , kun äipät olla hoito .","päihdeäideille","5.1.2009","15:14","Terveys","Päihdepolitiikka","baareissa.","6892893","http://keskustelu.suomi24.fi/t/6676819#comment-35016248","http://keskustelu.suomi24.fi/t/6676819","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"6","S24","Lihavuus näkyy ikävä kyllä ulospäin ja siitä voi joku ärsyyntyä mutta kenellä on oikeus sanoa toiselle , millainen hänen pitäisi olla .","lihavuus näkyä ikävä kyllä ulospäin ja se voida joku ärsyyntyä mutta kuka olla oikeus sanoa toinen , millainen hän pitää olla .","Miksi lihavaa saa haukkua?","15.11.2014","08:28","Terveys","Lihavuus","Iso-Iita","182459","http://keskustelu.suomi24.fi/t/12812754#comment-73512720","http://keskustelu.suomi24.fi/t/12812754","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"7","S24","Mulkakin monesti tunteet menee ääripäästä toiseen - negatiiviseen sen saa kuitenki joku tietynlainen kommentti joltain tai se et tuntuu et oon hylätty .","Mulkakin monesti tunne mennä ääripää toinen - negatiivinen se saada kuitenki joku tietynlainen kommentti jokin tai se ei tuntua ei olla hylätä .","En ole masistytsy enää...","27.10.2013","22:44","Terveys","Yksinäisyys","Auringon säde","4779473","http://keskustelu.suomi24.fi/t/11798406#comment-64226606","http://keskustelu.suomi24.fi/t/11798406","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"8","S24","väissä heräilen väissä en ..","väki heräillä väki ei ..","melatoniinin sivuoireet?","17.7.2014","19:12","Terveys","Uni ja unihairiöt","brombeere","8456139","http://keskustelu.suomi24.fi/t/6249302#comment-68882808","http://keskustelu.suomi24.fi/t/6249302","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"9","S24","nyt 9 päivää leikkauksesta on kulunut ja tuntuu , että purenta ei ihan osu kohdilleen .","nyt 9 päivä leikkaus olla kulua ja tuntua , että purenta ei ihan osua kohta .","sukupuolen vaihtaminen","12.6.2014","23:48","Terveys","Leikkaus","jotain vikaa heiss on","5893647","http://keskustelu.suomi24.fi/t/12304880#comment-68301251","http://keskustelu.suomi24.fi/t/12304880","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
