"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"1000","S24","Äitiys ei anna lupaa inhottavaan käyttäytymiseen vaan asian pitäisi olla päin vastoin .","äitiys ei antaa lupa inhottava käyttäytyminen vaan asia pitää olla päin vastoa .","Äiti on tuhonnut itsetuntoni","16.4.2013","14:20","Terveys","Masennus","Äiti minäkin....,,","8143374","http://keskustelu.suomi24.fi/t/11410194#comment-61090556","http://keskustelu.suomi24.fi/t/11410194","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1001","S24","Kaikki nuoruudenaikaiset seurustelunyritykset kaatuivat ujouteeni kun en saanut sanaa suustani poikien/miesten kanssa ja koko kehoni oli jännittynyt äärimmilleen .","kaikki nuoruudenaikainen seurusteluyritys kaatua ujous kun ei saada sana suu poikien/miesten kanssa ja koko keho olla jännittyä äärimmilleen .","Kysymys naisille ja ujoille miehille","26.9.2014","12:57","Terveys","Ujous","nainenpaniikissa","1259757","http://keskustelu.suomi24.fi/t/12428492#comment-70846490","http://keskustelu.suomi24.fi/t/12428492","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1002","S24","Joskus on hyvä ja terveellistäkin "" päivittää "" oma tilansa .","joskus olla hyvä ja terveellinentäkki "" päivittää "" oma tila .","20 vuotta eikä suotta","10.10.2014","21:37","Terveys","Alkoholismi","Testaaja Teppo","5065757","http://keskustelu.suomi24.fi/t/12693809#comment-71619557","http://keskustelu.suomi24.fi/t/12693809","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1003","S24","Ja jos isot annokset hirvittää , ni sit tasaisin väliajoin vaihtaa lääkkeitä ..","ja jos iso annos hirvittää , ni sit tasata väliaika vaihtaa lääke ..","Levozin on hirvittävä lääke","13.6.2011","21:16","Terveys","Yleistä mielenterveydestä","tilulilulii.........","8463795","http://keskustelu.suomi24.fi/t/1401305#comment-49860825","http://keskustelu.suomi24.fi/t/1401305","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1004","S24","Joidenkin kohdalla ei edes laihdutusleikkaus tuo pysyvää tulosta , jos ei kykene hallitsemaan syömistään .","jokin kohta ei edes laihdutusleikkaus tuoda pysyvä tulos , jos ei kyetä hallita syöminen .","Olin lihavuusleikkauksessa","17.6.2009","17:53","Terveys","Leikkaus","syömishäiriöllä","5901693","http://keskustelu.suomi24.fi/t/7093169#comment-38392608","http://keskustelu.suomi24.fi/t/7093169","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1005","S24","Toisaalta olen saanut ihan lähipiiristämme myös vastakkaisia kommentteja kuten Sinun pitäisi vain potkia itseäsi persuuksille ja Eihän sinulla voi olla mikään huonosti kun sinulla on hyvä koulutus ja työpaikka , molemmat vanhemmat ja terveet lapset .","toisaalta olla saada ihan lähipiiri myös vastakkainen kommentti kuten sinä pitää vain potkia itse persuukset ja ei sinä voida olla mikään huonosti kun sinä olla hyvä koulutus ja työpaikka , molemmat vanha ja terve lapsi .","Burn-out-lomalle?","21.9.2007","19:42","Terveys","Stressi ja burn-out","Burnis","1027158","http://keskustelu.suomi24.fi/t/4694321#comment-25731071","http://keskustelu.suomi24.fi/t/4694321","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1006","S24","Toisaalta kun yksinäisyyden kipu on jatkuvaa , kuka tahansa kokee tarvitsevansa välillä puuduttajaa , esim. alkoholi .","toisaalta kun yksinäisyys kipu olla jatkuva , kuka tahansa kokea tarvita välillä puuduttaa , esim. alkoholi .","Koko elämä yksin","9.1.2009","21:52","Terveys","Yksinäisyys","Desperated","8880042","http://keskustelu.suomi24.fi/t/6696215#comment-35121174","http://keskustelu.suomi24.fi/t/6696215","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1007","S24","Vaikka mielestäni parhaani tein hänen olonsa keventämiseksi , usein ajatuksella "" etten toisen taakkaa suuremmaksi tee "" , niin säälin tunne oli joskus hoidellessanikin kamala .","vaikka mieli hyvä tehdä hän olo keventää , usein ajatus "" ettäei toinen taakka suuri tehdä "" , niin sääli tunne olla joskus hoidella kamala .","tätäkö se on?","12.8.2014","23:08","Terveys","Omaishoitajat","exomaishoituri.","4054517","http://keskustelu.suomi24.fi/t/12384557#comment-69316063","http://keskustelu.suomi24.fi/t/12384557","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1008","S24","Sosiaalisista tilanteista ne eivät tee yhtään helpompia .","sosiaalinen tilanne se ei tehdä yhtään helppo .","10mg diapam ei toimi?","21.5.2014","19:03","Terveys","Ahdistus","siili1","8371685","http://keskustelu.suomi24.fi/t/12260268#comment-67920652","http://keskustelu.suomi24.fi/t/12260268","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1009","S24","Vielä kymmenen pois , niin eiköhän se mahakin vähän pienene .","vielä kymmenen pois , niin ei se maha vähän pienetä .","Mitä mieltä teidän läheiset on lihomisestanne?","16.12.2014","22:20","Terveys","Lihavuus","hauskajuttu","181970","http://keskustelu.suomi24.fi/t/13122081#comment-75284253","http://keskustelu.suomi24.fi/t/13122081","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
"1010","S24","..  Aina ei jaksa ajatella muita , jos itsellää on niin paha olla eikä mistään saa irti mitään .",".. () Aina ei jaksaa ajatella muu , jos itsellää olla niin paha olla ei mikään saada irti mikään .","itsemurha","29.6.2009","01:34","Terveys","Kuolema ja suru","Villitiikeri","4254413","http://keskustelu.suomi24.fi/t/5217526#comment-38559741","http://keskustelu.suomi24.fi/t/5217526","CC BY-NC (CLARIN PUB)","2019-03-02 16:06:03","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D&page=1","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=1000; end=1999"
